DATE,TIME,BOROUGH,ZIP_CODE,LATITUDE,LONGITUDE,LOCATION,ON_STREET_NAME,CROSS_STREET_NAME,OFF_STREET_NAME,NUMBER_OF_PERSONS_INJURED,NUMBER_OF_PERSONS_KILLED,NUMBER_OF_PEDESTRIANS_INJURED,NUMBER_OF_PEDESTRIANS_KILLED,NUMBER_OF_CYCLIST_INJURED,NUMBER_OF_CYCLIST_KILLED,NUMBER_OF_MOTORIST_INJURED,NUMBER_OF_MOTORIST_KILLED,CONTRIBUTING_FACTOR_VEHICLE_1,CONTRIBUTING_FACTOR_VEHICLE_2,CONTRIBUTING_FACTOR_VEHICLE_3,CONTRIBUTING_FACTOR_VEHICLE_4,CONTRIBUTING_FACTOR_VEHICLE_5,UNIQUE_KEY,VEHICLE_TYPE_CODE_1,VEHICLE_TYPE_CODE_2,VEHICLE_TYPE_CODE_3,VEHICLE_TYPE_CODE_4,VEHICLE_TYPE_CODE_5
04/10/2018,0:00,MANHATTAN,10016,40.748882,-73.98353,"(40.748882, -73.98353)",,,7         EAST 35 STREET                ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3879519,FB,PASSENGER VEHICLE,,,
04/10/2018,0:00,STATEN ISLAND,10312,40.5433,-74.16424,"(40.5433, -74.16424)",RICHMOND AVENUE                 ,AMBOY ROAD,,0,0,0,0,0,0,0,0,Pavement Slippery,Unspecified,,,,3878321,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
04/10/2018,0:00,,,40.715763,-73.74654,"(40.715763, -73.74654)",JAMAICA AVENUE                  ,212 STREET,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,3878136,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
04/10/2018,0:00,,,40.64057,-74.16916,"(40.64057, -74.16916)",,,31        BETTY COURT                   ,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3877602,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
04/10/2018,0:00,MANHATTAN,10025,40.79525,-73.97321,"(40.79525, -73.97321)",WEST 96 STREET                  ,WEST END AVENUE,,1,0,1,0,0,0,0,0,Aggressive Driving/Road Rage,,,,,3879572,PASSENGER VEHICLE,,,,
04/10/2018,0:01,MANHATTAN,10037,40.815403,-73.93992,"(40.815403, -73.93992)",WEST 137 STREET                 ,LENOX AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3878868,PASSENGER VEHICLE,TAXI,,,
04/10/2018,0:10,BRONX,10455,40.815083,-73.90842,"(40.815083, -73.90842)",JACKSON AVENUE                  ,EAST 151 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3878224,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/10/2018,0:10,QUEENS,11385,40.69622,-73.89988,"(40.69622, -73.89988)",CYPRESS AVENUE                  ,DECATUR STREET,,0,0,0,0,0,0,0,0,,,,,,3878478,,,,,
04/10/2018,0:10,MANHATTAN,10018,40.752895,-73.98925,"(40.752895, -73.98925)",WEST 37 STREET                  ,7 AVENUE,,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,3879533,TAXI,,,,
04/10/2018,0:15,,,40.680473,-73.9614,"(40.680473, -73.9614)",ATLANTIC AVENUE                 ,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3878604,PASSENGER VEHICLE,,,,
